Id,Label,Type,Authors
ART_1,ИННОВАЦИОННЫЕ ПОДХОДЫ К АДАПТИВНОМУ ОБУЧЕНИЮ ЛЕКСИ,Article,
ART_2,Статья_2,Article,
ART_3,ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ РОЛЕВЫХ ИГР КАК МЕТОДА,Article,"Соколова Н.В., Белоглазов А.А., Гализина Е.Г., Денисова О.И."
ART_4,ИССЛЕДОВАНИЕ ПО ПРИМЕНЕНИЮ ТЕХНОЛОГИИ ИИ В ПРЕПОДА,Article,Фань С.
ART_5,СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ПРЕПОДАВАНИЯ РУССКОГО ЯЗЫКА,Article,"Пирнепесова Г.Н., Ковалёв Н.С."
ART_6,ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В ОБУЧЕНИИ РУССКОМУ ЯЗЫКУ,Article,Крымова Л.Р.
ART_7,ПРАКТИКА СОЧЕТАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА С ИДЕ,Article,Ли С.
ART_8,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В РАБОТЕ У,Article,Федосенко Е.
ART_9,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ ДЛЯ СОЗДАНИЯ ДИДАКТИЧЕСКИХ,Article,"Буторина Н., Будаева Л."
ART_10,ПРАКТИКА ИСПОЛЬЗОВАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В,Article,"Исаева Л.Р., Шестакова Е.В."
ART_11,МЕТОДИЧЕСКИЕ УСЛОВИЯ ПРИМЕНЕНИЯ ИСКУССТВЕННОГО ИНТ,Article,Гнеушева А.Л.
ART_12,МЕТОДИЧЕСКИЕ ПРИЕМЫ В ОБУЧЕНИИ КИТАЙСКИХ СТУДЕНТОВ,Article,"Пашковская Н.Д., Киреева И.А., Лю Ч.Ю."
ART_13,ПРИМЕНЕНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА (ИИ) В ОБУЧЕН,Article,"Калашникова М.А., Темиргалеева М.М."
ART_14,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В РАБОТЕ У,Article,Федосенко Е.
ART_15,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ ДЛЯ СОЗДАНИЯ ДИДАКТИЧЕСКИХ,Article,"Буторина Н., Будаева Л."
ART_16,ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В ОБУЧЕНИИ РУССКОМУ ЯЗЫКУ,Article,Крымова Л.Р.
ART_17,ПОНЯТИЕ И СТРУКТУРА УСТНО-РЕЧЕВЫХ УМЕНИЙ ПРИ ИСПОЛ,Article,Крымова Л.Р.
ART_18,ИННОВАЦИОННЫЕ ПОДХОДЫ К АДАПТИВНОМУ ОБУЧЕНИЮ ЛЕКСИ,Article,Гапоненко К.Р.
ART_19,ПРИМЕНЕНИЕ ЧАТ-БОТОВ ПРИ ИЗУЧЕНИИ РУССКОГО ЯЗЫКА К,Article,Иванищева О.Н.
ART_20,ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ РОЛЕВЫХ ИГР КАК МЕТОДА,Article,"Соколова Н.В., Белоглазов А.А., Гализина Е.Г., Денисова О.И."
ART_21,ОСОБЕННОСТИ МЕТОДИЧЕСКОГО ОБЕСПЕЧЕНИЯ НА ЭТАПЕ ВНЕ,Article,Байчорова Х.С.
ART_22,ПРАКТИКА СОЧЕТАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА С ИДЕ,Article,Ли С.
ART_23,"РЕПРЕЗЕНТАЦИЯ КОНЦЕПТА ""人工智能 / ИСКУССТВЕННЫЙ ИНТЕЛ",Article,"Арекеева Ю.Е., Бедненко Ю.И."
ART_24,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПРЕПОДАВ,Article,"Сергеева О.В., Оздемир Е.Н."
ART_25,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПРЕПОДАВ,Article,"Идиатуллина Л.Т., Идиатуллин А.В., Сафина Г.Ф."
ART_26,ВОЗМОЖНОСТИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА НА УРОКЕ РУС,Article,Денисултанова В.Д.
ART_27,ПРИМЕНЕНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ПРИ ОБУЧЕНИИ ,Article,"Можеевская А.Е., Хайруллина М.В."
ART_28,ГЕЙМИФИКАЦИЯ И ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ПРОЦЕССЕ ,Article,"Ешекенева А.К., Яворская Э.Э."
ART_29,ТЕХНОЛОГИИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА: ОПТИМИЗАЦИЯ ,Article,"Можеевская А.Е., Хайруллина М.В."
ART_30,ЦИФРОВЫЕ ТЕХНОЛОГИИ И ТЕХНОЛОГИИ ИСКУССТВЕННОГО ИН,Article,"Казанцев В.К., Зенченко А.Д., Смирнова С.И."
ART_31,ЦИФРОВЫЕ ТЕХНОЛОГИИ И ТЕХНОЛОГИИ ИСКУССТВЕННОГО ИН,Article,"Погосова Е.В., Галкина А.А., Смирнова С.И."
ART_32,ЦИФРОВЫЕ ТЕХНОЛОГИИ И ТЕХНОЛОГИИ ИСКУССТВЕННОГО ИН,Article,"Пыхарев В.А., Холенко О.Е., Смирнова С.И."
ART_33,МЕТОДИЧЕСКАЯ АДАПТАЦИЯ ТЕКСТОВ С ПОМОЩЬЮ ИСКУССТВЕ,Article,"Островский А.Г., Косарева З.С., Богатырёв А.А."
ART_34,ТЕХНОЛОГИИ ИСКУСТВЕННОГО ИНТЕЛЛЕКТА КАК СРЕДСТВА А,Article,"Петрова Н.Е., Сычёва Е.С."
ART_35,СОВЕРШЕНСТВОВАНИЕ СЛУХОПРОИЗНОСИТЕЛЬНЫХ НАВЫКОВ НА,Article,Гаврикова Э.О.
ART_36,ВИРТУАЛЬНАЯ ДОМАШНЯЯ РАБОТА В SPATIAL: МИФ ИЛИ РЕА,Article,Плеханова Е.А.
ART_37,ПРЕПОДАВАНИЕ РУССКОГО ЯЗЫКА В КОНТЕКСТЕ ИСКУССТВЕН,Article,Го Д.Н.
ART_38,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ КАК ИНСТРУМЕНТ ПРИ ВЫПОЛНЕ,Article,Дрейфельд О.В.
ART_39,РАЗВИТИЕ КРИТИЧЕСКОГО МЫШЛЕНИЯ ОБУЧАЮЩИХСЯ-ИНОФОНО,Article,Авдеева Н.П.
ART_40,УЧЕТ ЭТНОКУЛЬТУРНЫХ ОСОБЕННОСТЕЙ СТУДЕНТОВ ИЗ МУСУ,Article,
ART_41,ПЕРСПЕКТИВЫ ТЕХНОЛОГИЙ НЕЙРОСЕТИ И ИСКУССТВЕННОГО ,Article,"Усова В.А., Гусельникова М.Л."
ART_42,МЕТОДИКА ПРИМЕНЕНИЯ CHATGPT ПРИ ОБУЧЕНИИ СТИЛИСТИК,Article,Козловцева Н.А.
ART_43,ТЕХНОЛОГИИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ОБУЧЕНИИ РУ,Article,"Сысоев П.В., Филатов Е.М."
ART_44,НЕЙРОСЕТИ НА СЛУЖБЕ ПРЕПОДАВАТЕЛЯ РКИ,Article,Давудова М.О.
ART_45,РЕАЛИЗАЦИЯ МЕТОДИЧЕСКОГО ПОТЕНЦИАЛА ТЕХНОЛОГИЙ ИИ ,Article,"Бирюкова Ю.Н., Карабанова Е.Н."
ART_46,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ОБУЧЕНИИ ИНОСТРАННЫМ ЯЗЫ,Article,Шейтанова Н.
ART_47,МЕТОДИЧЕСКИЙ ПОТЕНЦИАЛ ИСПОЛЬЗОВАНИЯ CHATGPT В ОБУ,Article,Козловцева Н.А.
ART_48,"АНАЛИЗ КОММУНИКАТИВНЫХ СИТУАЦИЙ ""ЗНАКОМСТВО"" И ""У ",Article,Прощенко А.Ю.
ART_49,ТЕХНОЛОГИИ ПРИМЕНЕНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ,Article,"Погорелова И.Ю., Савченко Т.Д."
ART_50,ПРОЕКТНАЯ ДЕЯТЕЛЬНОСТЬ С ИСПОЛЬЗОВАНИЕМ КРЕАТИВНЫХ,Article,"Дронова А.Л., Овчинникова Л.О., Писарь Н.В."
ART_51,МЕТОДИЧЕСКИЙ ПОТЕНЦИАЛ ИСПОЛЬЗОВАНИЯ CHATGPT В ОБУ,Article,Козловцева Н.А.
ART_52,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ПРАКТИКЕ ПРЕПОДАВАНИЯ РУ,Article,"Немыка А.А., Тупикова М.В., Козловская Е.С."
ART_53,ОЦЕНКА ЭФФЕКТИВНОСТИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В П,Article,Тогумбетова Ж.
ART_54,"СТРУКТУРА ИНФОРМАЦИОННОЙ СИСТЕМЫ МАСТЕР-КЛАССА ""ПР",Article,"Матухин П.Г., Петрова М.Г., Копылова П.А., Петров Г.П."
ART_55,ПОТЕНЦИАЛ ЦИФРОВЫХ СЕРВИСОВ НА БАЗЕ ИСКУССТВЕННОГО,Article,"Семенова Н.В., Пуляевская А.М."
ART_56,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ПРАКТИКЕ ПРЕПОДАВАНИЯ РУ,Article,"Немыка А.А., Тупикова М.В., Козловская Е.С."
ART_57,ПРИМЕНЕНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ОБУЧЕНИИ ПИ,Article,Хоанг Т.Х.
ART_58,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ КАК СРЕДСТВА КОРРЕКТИРУЮЩЕ,Article,
ART_59,ТВОРЧЕСКИЕ ВИДЫ ЗАДАНИЙ С ИСПОЛЬЗОВАНИЕМ ИСКУССТВЕ,Article,"Гаврилова М.В., Дронова А.Л."
ART_60,ВНЕДРЕНИЕ ТЕХНОЛОГИЙ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ДЛЯ,Article,Писарь Н.В.
ART_61,ПОНЯТИЕ И СТРУКТУРА УСТНО-РЕЧЕВЫХ УМЕНИЙ ПРИ ИСПОЛ,Article,Крымова Л.Р.
ART_62,ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ YANDEXGPT ДЛЯ РАЗВИТИЯ,Article,Попович О.Ю.
ART_63,ПЕРСПЕКТИВЫ ТЕХНОЛОГИЙ НЕЙРОСЕТИ И ИСКУССТВЕННОГО ,Article,"Усова В.А., Гусельникова М.Л."
ART_64,ИСПОЛЬЗОВАНИЕ ЦИФРОВЫХ ТЕХНОЛОГИЙ В ОБУЧЕНИИ РУССК,Article,"Аннатаганова О., Мередова А., Черкезова С."
ART_65,OPTIMIZATION OF ADAPTIVE LANGUAGE LEARNING USING A,Article,
ART_66,КАК ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ ПОМОГАЕТ ИЗУЧАТЬ РУССК,Article,Умурзакова К.
ART_67,ПРОБЛЕМЫ РАЗВИТИЯ УСТНО-РЕЧЕВЫХ УМЕНИЙ ПРИ ОБУЧЕНИ,Article,"Федотова Н.Л., Нерсисян К.А."
ART_68,МЕТОДИКА ПРИМЕНЕНИЯ CHATGPT ПРИ ОБУЧЕНИИ СТИЛИСТИК,Article,Козловцева Н.А.
ART_69,МЕТОДИКА И ПРАКТИКА ОБУЧЕНИЯ РУССКОМУ ЯЗЫКУ КАК ИН,Article,"Барашян В.К., Кононенко А.П., Недоспасова Л.А."
ART_70,УРОКИ РУССКОГО ДЛЯ ИНОСТРАНЦЕВ: ТЕХНИКИ ИСКУССТВЕН,Article,Дзюба Е.В.
ART_71,НЕЙРОСЕТИ НА СЛУЖБЕ ПРЕПОДАВАТЕЛЯ РКИ,Article,Давудова М.О.
ART_72,"АНАЛИЗ КОММУНИКАТИВНЫХ СИТУАЦИЙ ""ЗНАКОМСТВО"" И ""У ",Article,Прощенко А.Ю.
ART_73,МЕТОДИЧЕСКИЙ ПОТЕНЦИАЛ ИСПОЛЬЗОВАНИЯ CHATGPT В ОБУ,Article,Козловцева Н.А.
ART_74,ОРГАНИЗАЦИЯ ВНЕАУДИТОРНОЙ РАБОТЫ ПО ИНОСТРАННОМУ Я,Article,"Желтова Е.П., Маршева Н.В."
ART_75,ПРИМЕНЕНИЕ АЛГОРИТМОВ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ,Article,"Афанасьева Н.Д., Васильева А.А."
ART_76,ПРИМЕНЕНИЕ ТЕХНОЛОГИЙ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ПР,Article,"Иванищева О.Н., Лян М."
ART_77,"АНАЛИЗ КОММУНИКАТИВНЫХ СИТУАЦИЙ ""ЗНАКОМСТВО"" И ""У ",Article,Прощенко А.Ю.
ART_78,ОБУЧАЮЩИЙ ПОТЕНЦИАЛ НЕЙРОСЕТЕЙ И СИСТЕМ ИСКУССТВЕН,Article,"Юздова Л.П., Баландина И.Д., Москвитина Т.Н."
ART_79,ГЕНЕРАТИВНЫЙ ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ КАК СРЕДСТВО ,Article,Писарь Н.В.
ART_80,ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТ,Article,Сентябова А.В.
ART_81,ПРИМЕНЕНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ДЛЯ ИЗУЧЕНИЯ ,Article,Ле В.Х.
ART_82,ИСПОЛЬЗОВАНИЕ ВОЗМОЖНОСТЕЙ ИСКУССТВЕННОГО ИНТЕЛЛЕК,Article,Машканцева С.В.
ART_83,ПРЕИМУЩЕСТВА И НЕДОСТАТКИ ПЛАТФОРМЫ НА ОСНОВЕ ИСКУ,Article,"Рафаэльян В.А., Донина О.В."
ART_84,ПРОБЛЕМА ПОДГОТОВКИ УЧЕБНЫХ МАТЕРИАЛОВ ПО РУССКОМУ,Article,Шмакова В.А.
ART_85,ИСПОЛЬЗОВАНИЕ ГЕНЕРАТИВНОГО ИСКУССТВЕННОГО ИНТЕЛЛЕ,Article,"Дзюба Е.В., Колесник И.И., Кучумова Е.В."
ART_86,АНАЛИЗ ВОЗМОЖНОСТЕЙ ПЛАТФОРМЫ НА ОСНОВЕ ИСКУССТВЕН,Article,"Рафаэльян В.А., Донина О.В."
ART_87,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА НА ЗАНЯТИЯ,Article,Алексеева Е.С.
ART_88,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ПРИ ПРЕПОД,Article,"Чжоу Л., Саракаева Э.А."
ART_89,ПРИМЕНЕНИЕ ТЕХНОЛОГИЙ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ,Article,Кузнецова Е.В.
ART_90,ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТ,Article,Инина В.В.
ART_91,"ДИАЛОГ КУЛЬТУР В СОВРЕМЕННОМ УЧЕБНИКЕ ""УДМУРТ КЫЛ""",Article,Костина К.Г.
ART_92,"ВИРТУАЛЬНЫЙ ГОЛОСОВОЙ ПОМОЩНИК ""АЛИСА"" В ПРЕПОДАВА",Article,Грибовская Н.Ю.
ART_93,СПОСОБЫ ПРИМЕНЕНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПРЕ,Article,Лерхер Х.
ART_94,ВЛИЯНИЕ СОВРЕМЕННЫХ ТЕХНОЛОГИЙ НА РАЗВИТИЕ И СОХРА,Article,Албагачиева Х.И.
ART_95,РОЛЬ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ОРГАНИЗАЦИИ САМОС,Article,Дилшодбеков Т.Д.
ART_96,СОВРЕМЕННЫЕ ПОДХОДЫ К ОБУЧЕНИЮ ОБЩЕОБРАЗОВАТЕЛЬНЫМ,Article,Седова Н.В.
ART_97,ЦИФРОВИЗАЦИЯ В ИЗУЧЕНИИ ЯЗЫКОВ: ВЛИЯНИЕ ИСКУССТВЕН,Article,Мухаммад И.Б.
ART_98,МЕТОДЫ И СРЕДСТВА ПОВЫШЕНИЯ ЭФФЕКТИВНОСТИ ОБРАЗОВА,Article,Машканцева С.В.
ART_99,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ПРОЦЕССЕ ТРАНСКРИБИРОВАН,Article,"Барышникова Е.Н., Латышева А.В."
ART_100,ОПЫТ ПРИМЕНЕНИЯ CHAT GPT В ПРЕПОДАВАНИИ РУССКОГО Я,Article,Стеценко В.В.
ART_101,КОНЦЕПЦИЯ ЭФФЕКТИВНОГО ПРЕПОДАВАНИЯ РУССКОГО ЯЗЫКА,Article,"Адашкевич И.В., Кислик Н.В."
ART_102,ГЕНЕРАТИВНЫЕ НЕЙРОСЕТИ ИИ В МЕТОДИКЕ ПРЕПОДАВАНИЯ ,Article,Бурцева С.С.
ART_103,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПРЕПОДАВ,Article,Гунькина А.М.
ART_104,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА НА ЗАНЯТИЯ,Article,Юй Ч.
ART_105,НЕЙРОСЕТЬ - ПРЕПОДАВАТЕЛЬ РКИ?,Article,"Новоселова Н.В., Грачева О.А."
ART_106,ФУНКЦИОНИРОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ДЛЯ РАЗ,Article,Султани М.М.
ART_107,ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ ГЕНЕРАТИВНЫХ ИСКУССТВЕНН,Article,"Белопухова А.М., Андреева Е.Г."
ART_108,ОБ ОПЫТЕ ИСПОЛЬЗОВАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА П,Article,Румянцева Е.В.
ART_109,НЕЙРОСЕТИ КАК ИНСТРУМЕНТ ФОРМИРОВАНИЯ МЕЖКУЛЬТУРНО,Article,Валова Л.В.
ART_110,О ГИПОТЕТИЧЕСКОЙ ЗНАЧИМОСТИ СГЕНЕРИРОВАННЫХ ИЛЛЮСТ,Article,Головко Н.В.
ART_111,ВОЗМОЖНОСТИ CHATGPT В ИЗУЧЕНИИ РКИ,Article,Чжицзин У.
ART_112,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ И ЧАТ-БОТЫ НА УРОКАХ РУССК,Article,Лыу Т.Н.
ART_113,ВЕКТОРЫ ЦИФРОВОЙ ТРАНСФОРМАЦИИ ЛИНГВОДИДАКТИКИ,Article,
ART_114,ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ ПРЕПОДАВАНИЯ РКИ В АСПЕКТЕ ,Article,
ART_115,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА ПРИ ОБУЧЕН,Article,Гафурова Л.Р.
ART_116,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ОБУЧЕНИИ РУССКОМУ ЯЗЫКУ ,Article,Козловцева Н.А.
ART_117,СРЕДА ОБУЧЕНИЯ РУССКОМУ ЯЗЫКУ КАК ИНОСТРАННОМУ В У,Article,"Богомолов А.Н., Дунаева Л.А."
ART_118,ПРАКТИЧЕСКИЕ АСПЕКТЫ ИСПОЛЬЗОВАНИЯ ЧАТ-БОТОВ ДЛЯ О,Article,Хэ Я.
ART_119,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В МЕТОДИКЕ ОБУЧЕНИЯ РУССКО,Article,"Дзюба Е.В., Еремина С.А., Мушенко Е.В."
ART_120,ТЕХНОЛОГИЯ СОЗДАНИЯ ДИАЛОГОВОГО ТРЕНАЖЕРА ДЛЯ ОБУЧ,Article,"Писарь Н.В., Ремболович Ж.В., Юрасюк Н.В."
ART_121,РАЗВИТИЕ ЯЗЫКОВОЙ ЛИЧНОСТИ В ПРОФЕССИОНАЛЬНОМ ДИСК,Article,"Юшкова Н.А., Воробьева Н.А."
ART_122,ПРАКТИЧЕСКИЕ АСПЕКТЫ ИСПОЛЬЗОВАНИЯ ЧАТ-БОТОВ ДЛЯ О,Article,Хэ Я.
ART_123,СКВОЗНЫЕ ТЕХНОЛОГИИ КАК ИНСТРУМЕНТ ФОРМИРОВАНИЯ СО,Article,"Латухина А.Л., Маринина Ю.А., Савант Р."
ART_124,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ОБУЧЕНИИ,Article,Наргес А.М.
ART_125,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ НА СЛУЖБЕ РКИ,Article,"Грачева О.А., Новоселова Н.В."
ART_126,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПРЕПОДАВ,Article,Калашникова М.А.
ART_127,"ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ ""НА СЛУЖБЕ"" У ПРЕПОДАВАТЕЛ",Article,Дивисенко О.В.
ART_128,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ КАК ПОМОЩНИК ПРЕПОДАВАТЕЛЯ,Article,Буторина Н.Ф.
ART_129,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ПРЕПОДАВАНИИ РКИ (НА ПРИ,Article,Гурова Е.П.
ART_130,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ПРАКТИКЕ ПРЕПОДАВАНИЯ РК,Article,Рублёва Е.В.
ART_131,ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В МЕТОДИКЕ ПРЕПОДАВАНИЯ Р,Article,"Донина О.В., Рафаэльян В.А."
ART_132,РУССКИЙ ЯЗЫК КАК ИНОСТРАННЫЙ В ЗЕРКАЛЕ CHATGPT-4,Article,"Матухин П.Г., Копылова П.А., Исмаилова Х.Э."
ART_133,СИСТЕМЫ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПРОЦЕССЕ ПРЕПО,Article,Савочкина И.В.
ART_134,РОЛЬ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ОБУЧЕНИИ РУССКОМУ,Article,Писарь Н.В.
ART_135,РАССУЖДЕНИЕ О ВОЗМОЖНОМ СПОСОБЕ ПРИМЕНЕНИЯ ГЕНЕРАТ,Article,Головко Н.В.
ART_136,КНИГА-ПРИТЧА С ИСПОЛЬЗОВАНИЕМ НЕЙРОСЕТЕЙ GPT CHAT ,Article,Кудрявцева Е.
ART_137,ПРЕПОДАВАНИЕ РУССКОГО ЯЗЫКА ИНОСТРАННЫМ ОБУЧАЮЩИМС,Article,"Амелина И.О., Эрнандес Я.Д."
ART_138,ИСПОЛЬЗОВАНИЕ ПОТЕНЦИАЛА CHATGPT В ЦЕЛЯХ ПРЕПОДАВА,Article,"Шамсидинова М.К., Чалова О.В."
ART_139,ИЗМЕНЕНИЕ КЛАССИЧЕСКОГО ПРЕДСТАВЛЕНИЯ О ПРЕПОДАВАН,Article,Доненко О.Л.
ART_140,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ КАК ПОМОЩНИК ПРЕПОДАВАТЕЛЯ,Article,Буторина Н.Ф.
ART_141,ТЕХНОЛОГИИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ПРЕПОДАВАНИ,Article,"Донина О.В., Рафаэльян В."
ART_142,СЕМАНТИЗАЦИЯ ЛЕКСИЧЕСКИХ ЕДИНИЦ В УСЛОВИЯХ КОНТАКТ,Article,Шаймерденова Н.Ж.
ART_143,РАЗРАБОТКА ОБРАЗОВАТЕЛЬНОЙ ПЛАТФОРМЫ ПО ИЗУЧЕНИЮ Р,Article,"Витвицкая О.В., Мушкова В.В."
ART_144,РОЛЬ CHATGPT В ПРЕПОДАВАНИИ РУССКОГО ЯЗЫКА КАК ИНО,Article,"Донина О.В., Рафаэльян В.А."
ART_145,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ В ОБУЧЕНИИ РУССКОМУ ЯЗЫКУ ,Article,"Кузнецова А.А., Аксенова Е.Д., Михайлова Н.Д., Ткачева Р.А., Толкачева Н.Н."
ART_146,ДИСТАНЦИОННОЕ ОБУЧЕНИЕ: РЕАЛИИ И ПЕРСПЕКТИВЫ,Article,"Абазова Л.М., Кочесокова М.П., Гутаева Ж.Ж., Татарова Р.Х."
ART_147,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ -ПОМОЩНИК ИЛИ КОНКУРЕНТ ПР,Article,Кожевникова М.Н.
ART_148,НОВЫЕ ТЕНДЕНЦИИ В ПРЕПОДАВАНИИ РУССКОГО ЯЗЫКА КАК ,Article,"Богомолов А.Н., Дунаева Л.А."
ART_149,ПРИМЕНЕНИЕ ИКТ В ПРЕПОДАВАНИИ РКИ: ДАЛЬНЕЙШИЕ ПЕРС,Article,Шелехова Я.А.
ART_150,ИСПОЛЬЗОВАНИЕ ФОНЕТИЧЕСКИХ ОНЛАЙН-ТРЕНАЖЕРОВ В ПРЕ,Article,Некрылова В.П.
ART_151,НОВЫЕ ТЕНДЕНЦИИ В ПРЕПОДАВАНИИ РУССКОГО ЯЗЫКА КАК ,Article,"Богомолов А.Н., Дунаева Л.А."
ART_152,ДИАЛОГОВЫЙ СИМУЛЯТОР КАК СРЕДСТВО РАЗВИТИЯ КОММУНИ,Article,"Ковтун Л.В., Гладков Ю.П."
ART_153,ИСПОЛЬЗОВАНИЕ QUIZLET И ТЕЛЕГРАМ-БОТОВ ДЛЯ ИЗУЧЕНИ,Article,"Гумерова А.М., Кудрявцева З.Г., Чусова К.В."
AUT_Городова,Городова,Author,
AUT_Анненкова,Анненкова,Author,
AUT_Моргун,Моргун,Author,
AUT_Донгак,Донгак,Author,
AUT_Серостанова,Серостанова,Author,
AUT_Левченко,Левченко,Author,
AUT_Лян М.,Лян М.,Author,
AUT_Фирсова,Фирсова,Author,
AUT_Ковтун Л.В.,Ковтун Л.В.,Author,
AUT_Донина О.В.,Донина О.В.,Author,
AUT_Катинская,Катинская,Author,
AUT_Плеханова Е.А.,Плеханова Е.А.,Author,
AUT_Петанова,Петанова,Author,
AUT_Антипова,Антипова,Author,
AUT_Козлова,Козлова,Author,
